route_id,service_id,trip_id,trip_headsign,shape_id
86117,WD,WD863001,Washermenpet Metro,sh12
01101,WD,WD013002,Airport,sh11
86117,WD,WD863003,Washermenpet Metro,sh12
17201,WD,WD173101,St.Thomas Mount,sh7
24217,WD,WD243102,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD173103,St.Thomas Mount,sh7
24217,WD,WD243104,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD173105,St.Thomas Mount,sh7
24217,WD,WD243106,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD173107,St.Thomas Mount,sh7
24217,WD,WD243108,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD173109,St.Thomas Mount,sh7
24217,WD,WD243110,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD173111,St.Thomas Mount,sh7
24217,WD,WD243112,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD173113,St.Thomas Mount,sh7
24217,WD,WD243114,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD173115,St.Thomas Mount,sh7
24217,WD,WD243116,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
01101,WD,WD013201,Airport,sh11
86117,WD,WD863202,Washermenpet Metro,sh12
01101,WD,WD013203,Airport,sh11
02201,WD,WD023301,Airport,sh13
23117,WD,WD233302,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
24217,WD,WD243401,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD173402,St.Thomas Mount,sh7
24217,WD,WD243403,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD173404,St.Thomas Mount,sh7
24217,WD,WD243405,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD173406,St.Thomas Mount,sh7
24217,WD,WD243407,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD173408,St.Thomas Mount,sh7
24217,WD,WD243409,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD173410,St.Thomas Mount,sh7
24217,WD,WD243411,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD173412,St.Thomas Mount,sh7
24217,WD,WD243413,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
