fare_id,route_id,origin_id,destination_id
F3,,SLI,SNP
F3,,SGE,SNP
F2,,SCC,SNP
F3,,SHC,SNP
F3,,SMA,SNP
F4,,SWA,SNP
F5,,SSI,SNP
F5,,SAN,SNP
F4,,SVA,SNP
F4,,SAR,SNP
F4,,SCM,SNP
F4,,SKO,SNP
F4,,STI,SNP
F3,,SAT,SNP
F3,,SAE,SNP
F2,,SSN,SNP
F1,,SPC,SNP
F1,,SKM,SNP
F0,,SNP,SNP
F1,,SEG,SNP
F5,,SMM,SNP
F6,,SAP,SEG
F5,,SME,SEG
F5,,SOT,SEG
F5,,SAL,SEG
F5,,SGU,SEG
F4,,SLM,SEG
F4,,SSA,SEG
F4,,SCR,SEG
F4,,STE,SEG
F4,,SGM,SEG
F3,,STL,SEG
F3,,SLI,SEG
F2,,SGE,SEG
F1,,SCC,SEG
F2,,SHC,SEG
F2,,SMA,SEG
F3,,SWA,SEG
F5,,SSI,SEG
F5,,SAN,SEG
F5,,SVA,SEG
F4,,SAR,SEG
F4,,SCM,SEG
F4,,SKO,SEG
F4,,STI,SEG
F4,,SAT,SEG
F3,,SAE,SEG
F3,,SSN,SEG
F2,,SPC,SEG
F1,,SKM,SEG
F1,,SNP,SEG
F0,,SEG,SEG
F5,,SMM,SEG
F3,,SAP,SMM
F3,,SME,SMM
F2,,SOT,SMM
F1,,SAL,SMM
F2,,SGU,SMM
F2,,SLM,SMM
F3,,SSA,SMM
F4,,SCR,SMM
F4,,STE,SMM
F4,,SGM,SMM
F4,,STL,SMM
F4,,SLI,SMM
F5,,SGE,SMM
F5,,SCC,SMM
F5,,SHC,SMM
F5,,SMA,SMM
F6,,SWA,SMM
F2,,SSI,SMM
F3,,SAN,SMM
F4,,SVA,SMM
F4,,SAR,SMM
F4,,SCM,SMM
F4,,SKO,SMM
F5,,STI,SMM
F5,,SAT,SMM
F5,,SAE,SMM
F5,,SSN,SMM
F5,,SPC,SMM
F5,,SKM,SMM
F5,,SNP,SMM
F5,,SEG,SMM
F0,,SMM,SMM
